Date,Day,Branch,Open,Close,Reason,ReturnChutesOpen
2024-08-07,Wednesday,Woden,,,Major upgrade works,FALSE
2024-08-08,Thursday,Woden,,,Major upgrade works,FALSE
2024-08-09,Friday,Woden,,,Major upgrade works,FALSE
2024-08-10,Saturday,Woden,,,Major upgrade works,FALSE
2024-08-11,Sunday,Woden,,,Major upgrade works,FALSE
2024-08-12,Monday,Woden,,,Major upgrade works,FALSE
2024-08-13,Tuesday,Woden,,,Major upgrade works,FALSE
2024-08-14,Wednesday,Woden,,,Major upgrade works,FALSE
2024-08-15,Thursday,Woden,,,Major upgrade works,FALSE
2024-08-16,Friday,Woden,,,Major upgrade works,FALSE
2024-08-17,Saturday,Woden,,,Major upgrade works,FALSE
2024-08-18,Sunday,Woden,,,Major upgrade works,FALSE
2024-08-19,Monday,Woden,,,Major upgrade works,FALSE
2024-08-20,Tuesday,Woden,,,Major upgrade works,FALSE
2024-08-21,Wednesday,Woden,,,Major upgrade works,FALSE
2024-08-22,Thursday,Woden,,,Major upgrade works,FALSE
2024-08-23,Friday,Woden,,,Major upgrade works,FALSE
2024-08-24,Saturday,Woden,,,Major upgrade works,FALSE
2024-08-25,Sunday,Woden,,,Major upgrade works,FALSE
2024-08-26,Monday,Woden,,,Major upgrade works,FALSE
2024-08-27,Tuesday,Woden,,,Major upgrade works,FALSE
2024-08-28,Wednesday,Woden,,,Major upgrade works,FALSE
2024-08-29,Thursday,Woden,,,Major upgrade works,FALSE
2024-08-30,Friday,Woden,,,Major upgrade works,FALSE
2024-08-31,Saturday,Woden,,,Major upgrade works,FALSE
2024-09-01,Sunday,Woden,,,Major upgrade works,FALSE
2024-09-02,Monday,Woden,,,Major upgrade works,FALSE
2024-09-03,Tuesday,Woden,,,Major upgrade works,FALSE
2024-09-04,Wednesday,Woden,,,Major upgrade works,FALSE
2024-09-05,Thursday,Woden,,,Major upgrade works,FALSE
2024-09-06,Friday,Woden,,,Major upgrade works,FALSE
2024-09-07,Saturday,Woden,,,Major upgrade works,FALSE
2024-09-08,Sunday,Woden,,,Major upgrade works,FALSE
2024-09-09,Monday,Woden,,,Major upgrade works,FALSE
2024-09-10,Tuesday,Woden,,,Major upgrade works,FALSE
2024-09-11,Wednesday,Woden,,,Major upgrade works,FALSE
2024-09-12,Thursday,Woden,,,Major upgrade works,FALSE
2024-09-13,Friday,Woden,,,Major upgrade works,FALSE
2024-09-14,Saturday,Woden,,,Major upgrade works,FALSE
